iter	Passed	Remaining
412	3891	5530
413	3896	5515
414	3906	5507
415	3916	5497
416	3930	5495
417	3942	5488
418	3949	5476
419	3956	5463
420	3963	5451
421	3972	5440
422	3982	5431
423	3994	5426
424	4006	5419
425	4014	5409
426	4024	5400
427	4030	5386
428	4041	5379
429	4049	5367
430	4056	5355
431	4064	5343
432	4076	5338
433	4083	5325
434	4090	5313
435	4097	5300
436	4104	5287
437	4112	5276
438	4123	5269
439	4129	5255
440	4140	5247
441	4145	5233
442	4153	5222
443	4159	5208
444	4165	5195
445	4172	5182
446	4177	5168
447	4187	5159
448	4195	5148
449	4203	5137
450	4209	5124
451	4218	5114
452	4228	5105
453	4239	5098
454	4247	5087
455	4257	5079
456	4268	5072
457	4275	5059
458	4286	5051
459	4293	5039
460	4302	5030
461	4309	5018
462	4318	5009
463	4323	4994
464	4328	4980
465	4335	4968
466	4342	4956
467	4354	4949
468	4362	4938
469	4369	4927
470	4374	4913
471	4383	4903
472	4389	4890
473	4394	4876
474	4402	4866
475	4410	4855
476	4422	4849
477	4434	4842
478	4443	4832
479	4450	4821
480	4458	4811
481	4466	4800
482	4476	4791
483	4492	4789
484	4502	4780
485	4518	4779
486	4531	4773
487	4541	4764
488	4551	4756
489	4562	4748
490	4574	4742
491	4583	4732
492	4590	4720
493	4597	4709
494	4604	4697
495	4609	4684
496	4618	4673
497	4628	4665
498	4635	4654
499	4644	4644
500	4650	4632
501	4655	4618
502	4665	4609
503	4670	4595
504	4676	4583
505	4682	4571
506	4689	4560
507	4696	4548
508	4701	4535
509	4716	4531
510	4726	4522
511	4732	4510
512	4738	4498
513	4746	4487
514	4750	4473
515	4763	4468
516	4775	4461
517	4785	4453
518	4796	4444
519	4802	4433
520	4812	4424
521	4818	4412
522	4831	4406
523	4842	4399
524	4851	4389
525	4862	4381
526	4869	4370
527	4881	4363
528	4889	4353
529	4898	4344
530	4907	4334
531	4918	4326
532	4931	4320
533	4941	4312
534	4949	4301
535	4957	4291
536	4966	4281
537	4978	4275
538	4991	4269
539	5000	4259
540	5008	4249
541	5013	4236
542	5023	4228
543	5031	4217
544	5039	4207
545	5047	4196
546	5057	4188
547	5063	4176
548	5068	4163
549	5073	4151
550	5080	4140
551	5094	4134
552	5105	4127
553	5116	4118
554	5123	4108
555	5129	4096
556	5138	4086
557	5142	4073
558	5149	4062
559	5156	4051
560	5163	4040
561	5171	4030
562	5177	4018
563	5185	4008
564	5193	3998
565	5199	3986
566	5206	3975
567	5211	3963
568	5221	3954
569	5230	3945
570	5239	3936
571	5250	3928
572	5262	3921
573	5269	3911
574	5279	3901
575	5289	3894
576	5296	3883
577	5304	3873
578	5311	3862
579	5317	3850
580	5323	3839
581	5330	3828
582	5335	3816
583	5341	3804
584	5351	3796
585	5359	3786
586	5369	3777
587	5375	3766
588	5382	3755
589	5388	3744
590	5400	3737
591	5409	3728
592	5420	3720
593	5429	3710
594	5437	3701
595	5444	3690
596	5451	3679
597	5455	3667
598	5460	3655
599	5468	3645
600	5474	3634
601	5482	3624
602	5488	3613
603	5497	3604
604	5503	3593
605	5510	3582
606	5518	3572
607	5523	3561
608	5534	3553
609	5544	3544
610	5550	3533
611	5556	3523
612	5564	3513
613	5570	3501
614	5579	3492
615	5585	3481
616	5599	3475
617	5612	3469
618	5621	3459
619	5631	3451
620	5637	3440
621	5647	3431
622	5652	3420
623	5657	3408
624	5669	3401
625	5677	3392
626	5684	3381
627	5690	3371
628	5697	3360
629	5703	3349
630	5711	3339
631	5717	3329
632	5726	3320
633	5736	3311
634	5749	3304
635	5758	3295
636	5765	3285
637	5771	3274
638	5779	3264
639	5792	3258
640	5799	3248
641	5807	3238
642	5814	3228
643	5828	3221
644	5835	3212
645	5846	3203
646	5856	3195
647	5862	3184
648	5869	3174
649	5877	3164
650	5881	3153
651	5889	3143
652	5896	3133
653	5904	3124
654	5913	3114
655	5922	3105
656	5928	3094
657	5933	3083
658	5939	3073
659	5944	3062
660	5950	3051
661	5958	3042
662	5966	3032
663	5973	3022
664	5979	3012
665	5984	3001
666	5992	2991
667	5998	2981
668	6005	2971
669	6011	2960
670	6020	2951
671	6026	2941
672	6032	2930
673	6039	2921
674	6045	2910
675	6052	2900
676	6058	2890
677	6063	2879
678	6071	2870
679	6078	2860
680	6086	2850
681	6091	2840
682	6097	2829
683	6104	2820
684	6110	2809
685	6119	2800
686	6128	2792
687	6137	2783
688	6144	2773
689	6152	2764
690	6159	2754
691	6167	2745
692	6174	2735
693	6184	2726
694	6190	2716
695	6197	2706
696	6204	2697
697	6210	2686
698	6217	2677
699	6222	2666
700	6230	2657
701	6235	2647
702	6241	2636
703	6247	2626
704	6253	2616
705	6259	2606
706	6267	2597
707	6272	2586
708	6278	2576
709	6285	2567
710	6292	2557
711	6299	2548
712	6304	2537
713	6311	2528
714	6318	2518
715	6322	2507
716	6332	2499
717	6342	2491
718	6354	2483
719	6364	2475
720	6371	2465
721	6376	2455
722	6384	2445
723	6388	2435
724	6396	2426
725	6401	2416
726	6407	2406
727	6414	2396
728	6421	2387
729	6426	2377
730	6432	2367
731	6438	2357
732	6447	2348
733	6454	2339
734	6469	2332
735	6479	2324
736	6488	2315
737	6497	2306
738	6505	2297
739	6512	2288
740	6517	2278
741	6524	2268
742	6530	2258
743	6534	2248
744	6541	2239
745	6548	2229
746	6560	2222
747	6570	2213
748	6578	2204
749	6584	2194
750	6593	2186
751	6601	2177
752	6613	2169
753	6625	2161
754	6634	2152
755	6643	2144
756	6649	2134
757	6654	2124
758	6660	2114
759	6666	2105
760	6672	2095
761	6678	2086
762	6684	2076
763	6691	2067
764	6696	2057
765	6707	2049
766	6715	2040
767	6724	2031
768	6731	2021
769	6737	2012
770	6744	2003
771	6750	1993
772	6757	1984
773	6764	1975
774	6770	1965
775	6778	1956
776	6784	1947
777	6792	1938
778	6797	1928
779	6805	1919
780	6812	1910
781	6820	1901
782	6827	1892
783	6834	1883
784	6844	1874
785	6853	1865
786	6859	1856
787	6869	1848
788	6880	1840
789	6889	1831
790	6895	1822
791	6903	1813
792	6911	1804
793	6922	1796
794	6930	1787
795	6937	1777
796	6944	1768
797	6953	1760
798	6959	1750
799	6966	1741
800	6971	1732
801	6981	1723
802	6990	1715
803	7002	1707
804	7012	1698
805	7023	1690
806	7034	1682
807	7042	1673
808	7051	1664
809	7057	1655
810	7064	1646
811	7072	1637
812	7084	1629
813	7091	1620
814	7100	1611
815	7109	1603
816	7121	1595
817	7131	1586
818	7137	1577
819	7143	1568
820	7151	1559
821	7161	1550
822	7167	1541
823	7173	1532
824	7179	1523
825	7185	1513
826	7190	1504
827	7197	1495
828	7202	1485
829	7211	1476
830	7217	1467
831	7229	1459
832	7238	1451
833	7249	1442
834	7259	1434
835	7269	1426
836	7277	1417
837	7283	1408
838	7289	1398
839	7295	1389
840	7300	1380
841	7307	1371
842	7314	1362
843	7321	1353
844	7331	1344
845	7338	1335
846	7344	1326
847	7349	1317
848	7359	1308
849	7367	1300
850	7375	1291
851	7382	1282
852	7387	1273
853	7395	1264
854	7402	1255
855	7409	1246
856	7415	1237
857	7423	1228
858	7429	1219
859	7435	1210
860	7443	1201
861	7449	1192
862	7460	1184
863	7468	1175
864	7480	1167
865	7491	1159
866	7499	1150
867	7509	1141
868	7515	1132
869	7523	1124
870	7530	1115
871	7544	1107
872	7549	1098
873	7559	1089
874	7567	1081
875	7579	1072
876	7589	1064
877	7596	1055
878	7610	1047
879	7618	1038
880	7628	1030
881	7634	1021
882	7640	1012
883	7647	1003
884	7657	995
885	7666	986
886	7677	978
887	7683	969
888	7692	960
889	7704	952
890	7712	943
891	7721	934
892	7727	925
893	7735	917
894	7741	908
895	7747	899
896	7753	890
897	7758	881
898	7770	872
899	7777	864
900	7786	855
901	7792	846
902	7804	838
903	7813	829
904	7821	821
905	7827	812
906	7834	803
907	7841	794
908	7846	785
909	7853	776
910	7861	768
911	7871	759
912	7879	750
913	7887	742
914	7899	733
915	7907	725
916	7921	716
917	7927	708
918	7936	699
919	7942	690
920	7950	681
921	7958	673
922	7969	664
923	7975	655
924	7985	647
925	7991	638
926	7998	629
927	8002	620
928	8010	612
929	8019	603
930	8029	595
931	8037	586
932	8043	577
933	8051	568
934	8057	560
935	8067	551
936	8073	542
937	8081	534
938	8086	525
939	8095	516
940	8102	508
941	8108	499
942	8116	490
943	8121	481
944	8129	473
945	8133	464
946	8138	455
947	8147	446
948	8154	438
949	8161	429
950	8167	420
951	8176	412
952	8182	403
953	8190	394
954	8200	386
955	8208	377
956	8214	369
957	8224	360
958	8233	352
959	8239	343
960	8246	334
961	8253	326
962	8267	317
963	8279	309
964	8284	300
965	8292	291
966	8297	283
967	8305	274
968	8312	265
969	8319	257
970	8329	248
971	8340	240
972	8348	231
973	8357	223
974	8366	214
975	8375	205
976	8380	197
977	8390	188
978	8396	180
979	8405	171
980	8410	162
981	8420	154
982	8429	145
983	8439	137
984	8446	128
985	8458	120
986	8465	111
987	8475	102
988	8488	94
989	8497	85
990	8506	77
991	8513	68
992	8521	60
993	8526	51
994	8534	42
995	8542	34
996	8548	25
997	8558	17
998	8569	8
999	8578	0
